FoutCode;Veroorzaker;Toelichting;XSD-Klasse;Attribuut;tagNaam;Controleregel;Foutmelding;Verklaring;Request for Change;Oplossing
"HYP_FLO_1442";"W";"";"GerelateerdPersoon hyp_flo_1442|Rubriek niet toegestaan voor dit modeldocument";"";"";"GerelateerdPersoon hyp_flo_1442|Rubriek niet toegestaan voor dit modeldocument";"GerelateerdPersoon hyp_flo_1442|Rubriek niet toegestaan voor dit modeldocument";"GerelateerdPersoon hyp_flo_1442|Rubriek niet toegestaan voor dit modeldocument";"";"GerelateerdPersoon hyp_flo_1442|Rubriek niet toegestaan voor dit modeldocument"
"HYP_FLO_1444";"W";"";"GerelateerdPersoon hyp_flo_1444|Rubriek niet toegestaan voor dit modeldocument.";"";"";"GerelateerdPersoon hyp_flo_1444|Rubriek niet toegestaan voor dit modeldocument.";"GerelateerdPersoon hyp_flo_1444|Rubriek niet toegestaan voor dit modeldocument.";"GerelateerdPersoon hyp_flo_1444|Rubriek niet toegestaan voor dit modeldocument.";"";"GerelateerdPersoon hyp_flo_1444|Rubriek niet toegestaan voor dit modeldocument."
"HYP_RAB_1010";"W";"";"Rubriek niet toegestaan voor dit modeldocument.";"";"";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"";"Rubriek niet toegestaan voor dit modeldocument."
"HYP_RAB_1020";"W";"";"Rubriek niet toegestaan voor dit modeldocument.";"";"";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"";"Rubriek niet toegestaan voor dit modeldocument."
"HYP_RAB_1030";"W";"";"Waarde  k_OndertekenaarPlaatsaanduiding  niet toegestaan als keuzetekst.";"";"";"Waarde  k_OndertekenaarPlaatsaanduiding  niet toegestaan als keuzetekst.";"Waarde  k_OndertekenaarPlaatsaanduiding  niet toegestaan als keuzetekst.";"Waarde  k_OndertekenaarPlaatsaanduiding  niet toegestaan als keuzetekst.";"";"Waarde  k_OndertekenaarPlaatsaanduiding  niet toegestaan als keuzetekst."
"HYP_RAB_1310";"W";"";"Rubriek niet toegestaan voor dit modeldocument.";"";"";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"";"Rubriek niet toegestaan voor dit modeldocument."
"HYP_RAB_1318";"W";"";"Waarde  k_BurgerlijkeStaatPersoon  niet toegestaan als keuzetekst.";"";"";"Waarde  k_BurgerlijkeStaatPersoon  niet toegestaan als keuzetekst.";"Waarde  k_BurgerlijkeStaatPersoon  niet toegestaan als keuzetekst.";"Waarde  k_BurgerlijkeStaatPersoon  niet toegestaan als keuzetekst.";"";"Waarde  k_BurgerlijkeStaatPersoon  niet toegestaan als keuzetekst."
"HYP_RAB_1320";"S";"";"Gevolmachtigde hyp_rab_1320, Rubriek verplicht voor dit modeldocument.";"";"";"Gevolmachtigde hyp_rab_1320, Rubriek verplicht voor dit modeldocument.";"Gevolmachtigde hyp_rab_1320, Rubriek verplicht voor dit modeldocument.";"Gevolmachtigde hyp_rab_1320, Rubriek verplicht voor dit modeldocument.";"";"Gevolmachtigde hyp_rab_1320, Rubriek verplicht voor dit modeldocument."
"HYP_RAB_1430";"W";"";"Minimaal één Persoon binnen de partij moet tia_IndGerechtigde met waarde  true  hebben.";"";"";"Minimaal één Persoon binnen de partij moet tia_IndGerechtigde met waarde  true  hebben.";"Minimaal één Persoon binnen de partij moet tia_IndGerechtigde met waarde  true  hebben.";"Minimaal één Persoon binnen de partij moet tia_IndGerechtigde met waarde  true  hebben.";"";"Minimaal één Persoon binnen de partij moet tia_IndGerechtigde met waarde  true  hebben."
"HYP_RAB_1432";"S";"";"Waarde    tia_IndGerechtigde niet juist van persoon";"";"";"Waarde    tia_IndGerechtigde niet juist van persoon";"Waarde    tia_IndGerechtigde niet juist van persoon";"Waarde    tia_IndGerechtigde niet juist van persoon";"";"Waarde    tia_IndGerechtigde niet juist van persoon"
"HYP_RAB_1434";"S";"";"Waarde    tia_IndGerechtigde niet juist van persoon";"";"";"Waarde    tia_IndGerechtigde niet juist van persoon";"Waarde    tia_IndGerechtigde niet juist van persoon";"Waarde    tia_IndGerechtigde niet juist van persoon";"";"Waarde    tia_IndGerechtigde niet juist van persoon"
"HYP_RAB_1442";"W";"";"Rubriek niet toegestaan voor dit modeldocument.";"";"";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"";"Rubriek niet toegestaan voor dit modeldocument."
"HYP_RAB_1444";"W";"";"Rubriek niet toegestaan voor dit modeldocument.";"";"";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"";"Rubriek niet toegestaan voor dit modeldocument."
"HYP_AAB_1430";"W";"";"hyp_aab_1430|Minimaal één Persoon binnen de partij moet tia_IndGerechtigde met waarde  true  hebben.";"";"";"hyp_aab_1430|Minimaal één Persoon binnen de partij moet tia_IndGerechtigde met waarde  true  hebben.";"hyp_aab_1430|Minimaal één Persoon binnen de partij moet tia_IndGerechtigde met waarde  true  hebben.";"hyp_aab_1430|Minimaal één Persoon binnen de partij moet tia_IndGerechtigde met waarde  true  hebben.";"";"hyp_aab_1430|Minimaal één Persoon binnen de partij moet tia_IndGerechtigde met waarde  true  hebben."
"HYP_AAB_1432";"S";"";"Gevolmachtigde hyp_aab_1320|Rubriek verplicht voor dit modeldocument.";"";"";"Gevolmachtigde hyp_aab_1320|Rubriek verplicht voor dit modeldocument.";"Gevolmachtigde hyp_aab_1320|Rubriek verplicht voor dit modeldocument.";"Gevolmachtigde hyp_aab_1320|Rubriek verplicht voor dit modeldocument.";"";"Gevolmachtigde hyp_aab_1320|Rubriek verplicht voor dit modeldocument."
"HYP_ING_1010";"W";"";"";"";"";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"";"Rubriek niet toegestaan voor dit modeldocument."
"HYP_ING_1020";"W";"";"";"";"";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"";"Rubriek niet toegestaan voor dit modeldocument."
"HYP_ING_1030";"W";"";"";"";"";"Waarde  k_xx  niet toegestaan als keuzetekst.";"Waarde  k_xx  niet toegestaan als keuzetekst.";"Waarde  k_xx  niet toegestaan als keuzetekst.";"";"Waarde  k_xx  niet toegestaan als keuzetekst."
"HYP_ING_1310";"W";"";"";"";"";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"Rubriek niet toegestaan voor dit modeldocument.";"";"Rubriek niet toegestaan voor dit modeldocument."
"HYP_ING_1318";"W";"";"";"";"";"Waarde  k_BurgerlijkeStaatPersoon  niet toegestaan als keuzetekst.";"Waarde  k_BurgerlijkeStaatPersoon  niet toegestaan als keuzetekst.";"Waarde  k_BurgerlijkeStaatPersoon  niet toegestaan als keuzetekst.";"";"Waarde  k_BurgerlijkeStaatPersoon  niet toegestaan als keuzetekst."
"083C";"N";"";"IMKAD_Persoon 083c|Openbareruimte naam bevat niet toegestane tekst: Fellenoord";"IMKAD_Persoon 083c|Openbareruimte naam bevat niet toegestane tekst: Fellenoord";"";"IMKAD_Persoon 083c|Openbareruimte naam bevat niet toegestane tekst: Fellenoord";"IMKAD_Persoon 083c|Openbareruimte naam bevat niet toegestane tekst: Fellenoord";"IMKAD_Persoon 083c|Openbareruimte naam bevat niet toegestane tekst: Fellenoord";"";"IMKAD_Persoon 083c|Openbareruimte naam bevat niet toegestane tekst: Fellenoord"
"085C";"N";"";"Partij , IMKAD_Persoon 085c|Huisnummer bevat niet toegestane tekst: 15";"Partij , IMKAD_Persoon 085c|Huisnummer bevat niet toegestane tekst: 15";"";"Partij , IMKAD_Persoon 085c|Huisnummer bevat niet toegestane tekst: 15";"Partij , IMKAD_Persoon 085c|Huisnummer bevat niet toegestane tekst: 15";"Partij , IMKAD_Persoon 085c|Huisnummer bevat niet toegestane tekst: 15";"";"Partij , IMKAD_Persoon 085c|Huisnummer bevat niet toegestane tekst: 15"
"GG384";"S";"";"Gehuwde persoon ontbreekt in het XML-bestand";"";"";"Gehuwde persoon ontbreekt in het XML-bestand";"Gehuwde persoon ontbreekt in het XML-bestand";"Gehuwde persoon ontbreekt in het XML-bestand";"";"Gehuwde persoon ontbreekt in het XML-bestand"
"GG385";"S";"";"Tekstvergelijkingsfout, gebruik van …. Komt niet overeen in het XML- en PDF-bestand.";"";"";"Tekstvergelijkingsfout, gebruik van …. Komt niet overeen in het XML- en PDF-bestand.";"Tekstvergelijkingsfout, gebruik van …. Komt niet overeen in het XML- en PDF-bestand.";"Tekstvergelijkingsfout, gebruik van …. Komt niet overeen in het XML- en PDF-bestand.";"";"Tekstvergelijkingsfout, gebruik van …. Komt niet overeen in het XML- en PDF-bestand."
"GG386";"S";"";"Tijdstip ondertekening niet ingevuld. Zichtbaar in de aangeleverde PDF.";"";"";"Tijdstip ondertekening niet ingevuld. Zichtbaar in de aangeleverde PDF.";"Tijdstip ondertekening niet ingevuld. Zichtbaar in de aangeleverde PDF.";"Tijdstip ondertekening niet ingevuld. Zichtbaar in de aangeleverde PDF.";"";"Tijdstip ondertekening niet ingevuld. Zichtbaar in de aangeleverde PDF."
"hyp_obv_1556";"S";"";"StukdeelHypotheek , tia_Tekstkeuze hyp_obv_1556|Mandelig perceel mag niet zonder hoofdperceel voorkomen.";"";"";"StukdeelHypotheek , tia_Tekstkeuze hyp_obv_1556|Mandelig perceel mag niet zonder hoofdperceel voorkomen.";"StukdeelHypotheek , tia_Tekstkeuze hyp_obv_1556|Mandelig perceel mag niet zonder hoofdperceel voorkomen.";"StukdeelHypotheek , tia_Tekstkeuze hyp_obv_1556|Mandelig perceel mag niet zonder hoofdperceel voorkomen.";"";"StukdeelHypotheek , tia_Tekstkeuze hyp_obv_1556|Mandelig perceel mag niet zonder hoofdperceel voorkomen."
"HYP_RAB_1467";"S";"";"tia_BurgerlijkeStaatTekst hyp_rab_1467|Waarde voor 'k_BurgerlijkeStaatTekst' is niet toegestaan bij burgerlijke staat 'geregistreerd partner' van persoon ''.";"";"";"tia_BurgerlijkeStaatTekst hyp_rab_1467|Waarde voor 'k_BurgerlijkeStaatTekst' is niet toegestaan bij burgerlijke staat 'geregistreerd partner' van persoon ''.";"tia_BurgerlijkeStaatTekst hyp_rab_1467|Waarde voor 'k_BurgerlijkeStaatTekst' is niet toegestaan bij burgerlijke staat 'geregistreerd partner' van persoon ''.";"tia_BurgerlijkeStaatTekst hyp_rab_1467|Waarde voor 'k_BurgerlijkeStaatTekst' is niet toegestaan bij burgerlijke staat 'geregistreerd partner' van persoon ''.";"";"tia_BurgerlijkeStaatTekst hyp_rab_1467|Waarde voor 'k_BurgerlijkeStaatTekst' is niet toegestaan bij burgerlijke staat 'geregistreerd partner' van persoon ''."
"051B.1";"S";"";"NHR_Rechtspersoon 051b.1|Een NNP moet altijd vertegenwoordigd zijn door een NP of een gevolmachtigde.";"";"";"NHR_Rechtspersoon 051b.1|Een NNP moet altijd vertegenwoordigd zijn door een NP of een gevolmachtigde.";"NHR_Rechtspersoon 051b.1|Een NNP moet altijd vertegenwoordigd zijn door een NP of een gevolmachtigde.";"NHR_Rechtspersoon 051b.1|Een NNP moet altijd vertegenwoordigd zijn door een NP of een gevolmachtigde.";"";"NHR_Rechtspersoon 051b.1|Een NNP moet altijd vertegenwoordigd zijn door een NP of een gevolmachtigde."
"NOTV_1448";"W";"";"Waarschuwing: GerelateerdPersoon notv_1448|Rubriek niet toegestaan voor dit modeldocument";"";"";"Waarschuwing: GerelateerdPersoon notv_1448|Rubriek niet toegestaan voor dit modeldocument";"Waarschuwing: GerelateerdPersoon notv_1448|Rubriek niet toegestaan voor dit modeldocument";"Waarschuwing: GerelateerdPersoon notv_1448|Rubriek niet toegestaan voor dit modeldocument";"";"Waarschuwing: GerelateerdPersoon notv_1448|Rubriek niet toegestaan voor dit modeldocument"
"GG382";"N";"";"Contactgegevens opgenomen in erfdienstbaarhedenveld";"";"";"Contactgegevens opgenomen in erfdienstbaarhedenveld";"Contactgegevens opgenomen in erfdienstbaarhedenveld";"Contactgegevens opgenomen in erfdienstbaarhedenveld";"";"Contactgegevens opgenomen in erfdienstbaarhedenveld"
"023A.2";"N";"";"Voornaam van de ondertekenaar bevat ongeldig teken of is te kort.";"";"";"Voornaam van de ondertekenaar bevat ongeldig teken of is te kort.";"Voornaam van de ondertekenaar bevat ongeldig teken of is te kort.";"Voornaam van de ondertekenaar bevat ongeldig teken of is te kort.";"";"Voornaam van de ondertekenaar bevat ongeldig teken of is te kort."
"GG383";"W";"";"Tekst in PDF: ... het recht heeft ¿ indien deze later … (Deze tekst is geen utf8)";"";"";"Tekst in PDF: ... het recht heeft ¿ indien deze later … (Deze tekst is geen utf8)";"Tekst in PDF: ... het recht heeft ¿ indien deze later … (Deze tekst is geen utf8)";"Tekst in PDF: ... het recht heeft ¿ indien deze later … (Deze tekst is geen utf8)";"";"Tekst in PDF: ... het recht heeft ¿ indien deze later … (Deze tekst is geen utf8)"
"AANTV_010";"W";"";"aantv_010|Keuzetekst 'k_Verklaring' ontbreekt.";"";"";"aantv_010|Keuzetekst 'k_Verklaring' ontbreekt.";"aantv_010|Keuzetekst 'k_Verklaring' ontbreekt.";"aantv_010|Keuzetekst 'k_Verklaring' ontbreekt.";"";"aantv_010|Keuzetekst 'k_Verklaring' ontbreekt."
"AANTV_016";"W";"";"aantv_016|Keuzetekst 'k_Volgend' ontbreekt.";"";"";"aantv_016|Keuzetekst 'k_Volgend' ontbreekt.";"aantv_016|Keuzetekst 'k_Volgend' ontbreekt.";"aantv_016|Keuzetekst 'k_Volgend' ontbreekt.";"";"aantv_016|Keuzetekst 'k_Volgend' ontbreekt."
"AVV_K_072";"S";"";"";"";"";"StukdeelVerdelingGemeenschap , tekst avv_k_072|Waarde 'false' is niet toegestaan voor keuzetekst 'k_OndermeerOvereenkomst'.";"StukdeelVerdelingGemeenschap , tekst avv_k_072|Waarde 'false' is niet toegestaan voor keuzetekst 'k_OndermeerOvereenkomst'.";"StukdeelVerdelingGemeenschap , tekst avv_k_072|Waarde 'false' is niet toegestaan voor keuzetekst 'k_OndermeerOvereenkomst'.";"";"StukdeelVerdelingGemeenschap , tekst avv_k_072|Waarde 'false' is niet toegestaan voor keuzetekst 'k_OndermeerOvereenkomst'."
"GG359";"S";"";"";"";"";"Verklaart staat in het PDF maar niet in het XML bestand. Datum staat vast aan de titel.";"Verklaart staat in het PDF maar niet in het XML bestand. Datum staat vast aan de titel.";"Verklaart staat in het PDF maar niet in het XML bestand. Datum staat vast aan de titel.";"";"Verklaart staat in het PDF maar niet in het XML bestand. Datum staat vast aan de titel."
"GG360";"S";"";"";"";"";"De tekst in de aanhef van de PDF is onjuist en komt niet overeen met het XML. Notaris in de gemeente is niet opgenomen in de PDF.";"De tekst in de aanhef van de PDF is onjuist en komt niet overeen met het XML. Notaris in de gemeente is niet opgenomen in de PDF.";"De tekst in de aanhef van de PDF is onjuist en komt niet overeen met het XML. Notaris in de gemeente is niet opgenomen in de PDF.";"";"De tekst in de aanhef van de PDF is onjuist en komt niet overeen met het XML. Notaris in de gemeente is niet opgenomen in de PDF."
"GG361";"S";"";"";"";"";"Betreft oud depotnummer";"Betreft oud depotnummer";"Betreft oud depotnummer";"";"Betreft oud depotnummer"
"HYP_FLO_1425";"S";"";"";"";"";"tia_PartnerGegevens niet toegestaan indien k_BurgerlijkeStaatTekst de waarde  5  heeft.";"tia_PartnerGegevens niet toegestaan indien k_BurgerlijkeStaatTekst de waarde  5  heeft.";"tia_PartnerGegevens niet toegestaan indien k_BurgerlijkeStaatTekst de waarde  5  heeft.";"";"tia_PartnerGegevens niet toegestaan indien k_BurgerlijkeStaatTekst de waarde  5  heeft."
"HYP_ING_1352";"S";"";"";"";"";"Bij Hoedanigheid moet er minimaal 1 vertegenwoordigtRef aanwezig zijn.";"Bij Hoedanigheid moet er minimaal 1 vertegenwoordigtRef aanwezig zijn.";"Bij Hoedanigheid moet er minimaal 1 vertegenwoordigtRef aanwezig zijn.";"";"Bij Hoedanigheid moet er minimaal 1 vertegenwoordigtRef aanwezig zijn."
"EQU_009A";"S";"";"";"";"";"Waarde  kantoorhoudende te  is niet toegestaan voor keuzetekst  k_VerklaarderPlaatsaanduiding .";"Waarde  kantoorhoudende te  is niet toegestaan voor keuzetekst  k_VerklaarderPlaatsaanduiding .";"Waarde  kantoorhoudende te  is niet toegestaan voor keuzetekst  k_VerklaarderPlaatsaanduiding .";"";"Waarde  kantoorhoudende te  is niet toegestaan voor keuzetekst  k_VerklaarderPlaatsaanduiding ."
"VervDepot";"K";"";"Het depotnummer is vervallen.";"";"";"Het depotnummer is vervallen.";"Het depotnummer is vervallen.";"";"";"Het depotnummer is vervallen."
"hyp_ing_1229";"S";"";"hyp_ing_1229 - Waarde schuldenaar en/of de Hypotheekgever' niet toegestaan.";"";"";"hyp_ing_1229 - Waarde schuldenaar en/of de Hypotheekgever' niet toegestaan.";"hyp_ing_1229 - Waarde schuldenaar en/of de Hypotheekgever' niet toegestaan.";"hyp_ing_1229 - Waarde schuldenaar en/of de Hypotheekgever' niet toegestaan.";"";"hyp_ing_1229 - Waarde schuldenaar en/of de Hypotheekgever' niet toegestaan."
"HYP_RB_1556";"K";"";"";"";"";"Mandelig perceel mag niet zonder hoofdperceel voorkomen.";"Mandelig perceel mag niet zonder hoofdperceel voorkomen.";"Mandelig perceel mag niet zonder hoofdperceel voorkomen.";"";"Mandelig perceel mag niet zonder hoofdperceel voorkomen."
